LEA ID ,District,Title I Allocations Under the Recovery Act
3407980,KINGSWAY REGIONAL,0
3408010,KINGWOOD TOWNSHIP,0
3408040,KINNELON BOROUGH,0
3408060,KITTATINNY REGIONAL,0
3408070,KNOWLTON TOWNSHIP,0
3408100,LACEY TOWNSHIP,"297,136"
3408130,LAFAYETTE TOWNSHIP,0
3415150,LAKE COMO,"22,006"
3408160,LAKEHURST BOROUGH,"60,996"
3408190,LAKELAND REGIONAL,0
3408220,LAKEWOOD TOWNSHIP,"6,205,811"
3408250,LAMBERTVILLE CITY,0
3408280,LAUREL SPRINGS BOROUGH,"16,270"
3408310,LAVALLETTE BOROUGH,"33,983"
3408340,LAWNSIDE BOROUGH,"93,653"
3408370,LAWRENCE TOWNSHIP,"85,753"
3408400,LAWRENCE TOWNSHIP,0
3408430,LEBANON BOROUGH,0
3408460,LEBANON TOWNSHIP,0
3408490,LENAPE REGIONAL,0
3408500,LENAPE VALLEY REGIONAL,0
3408520,LEONIA BOROUGH,"95,850"
3408580,LINCOLN PARK BOROUGH,0
3408610,LINDEN CITY,"707,986"
3408640,LINDENWOLD BOROUGH,"390,533"
3408670,LINWOOD CITY,0
3408700,LITTLE EGG HARBOR TOWNSHIP,"200,415"
3408730,LITTLE FALLS TOWNSHIP,"53,153"
3408760,LITTLE FERRY BOROUGH,"136,805"
3408790,LITTLE SILVER BOROUGH,0
3408820,LIVINGSTON TOWNSHIP,0
3408850,LODI BOROUGH,"334,605"
3408880,LOGAN TOWNSHIP,"82,780"
3408910,LONG BEACH ISLAND,"63,082"
3408940,LONG BRANCH CITY,"822,619"
3412660,LONG HILL TOWNSHIP,0
3408671,LONGPORT,0
3409000,LOPATCONG TOWNSHIP,"62,738"
3409030,LOWER ALLOWAYS CREEK,"34,855"
3409090,LOWER CAPE MAY REGIONAL,"182,987"
3409150,LOWER TOWNSHIP,"207,386"
3409180,LUMBERTON TOWNSHIP,0
3409210,LYNDHURST TOWNSHIP,"143,776"
3409240,MADISON BOROUGH,0
3409300,MAGNOLIA BOROUGH,"54,025"
3409330,MAHWAH TOWNSHIP,0
3409360,MAINLAND REGIONAL,"94,979"
3409390,MANALAPAN-ENGLISHTOWN REG,0
3409420,MANASQUAN BOROUGH,"59,253"
3409450,MANCHESTER TOWNSHIP,"226,556"
3409480,MANNINGTON TOWNSHIP,"30,498"
3409510,MANSFIELD TOWNSHIP,0
3409540,MANSFIELD TOWNSHIP,"46,183"
3409570,MANTOLOKING,0
3409600,MANTUA TOWNSHIP,"82,780"
3409630,MANVILLE BOROUGH,"92,365"
3409660,MAPLE SHADE TOWNSHIP,"150,747"
3409690,MARGATE CITY,"67,095"
3409720,MARLBORO TOWNSHIP,0
3409750,MATAWAN-ABERDEEN REGIONAL,"236,141"
3409780,MAURICE RIVER TOWNSHIP,"103,977"
3409810,MAYWOOD BOROUGH,0
3409840,MEDFORD LAKES BOROUGH,0
3409870,MEDFORD TOWNSHIP,0
3409900,MENDHAM BOROUGH,0
3409930,MENDHAM TOWNSHIP,0
3409960,MERCHANTVILLE BOROUGH,"62,738"
3409990,METUCHEN BOROUGH,0
3410020,MIDDLE TOWNSHIP,"309,336"
3410050,MIDDLESEX BOROUGH,0
3410110,MIDDLETOWN TOWNSHIP,0
3410140,MIDLAND PARK BOROUGH,0
3410170,MILFORD BOROUGH,0
3410200,MILLBURN TOWNSHIP,0
3410260,MILLSTONE,0
3410230,MILLSTONE TOWNSHIP,0
3410290,MILLTOWN BOROUGH,0
3410320,MILLVILLE CITY,"1,793,990"
3410350,MINE HILL TOWNSHIP,"33,983"
3410380,MONMOUTH BEACH BOROUGH,0
3410440,MONMOUTH REGIONAL,"63,610"
3410470,MONROE TOWNSHIP,"399,087"
3410500,MONROE TOWNSHIP,0
3410530,MONTAGUE TOWNSHIP,"77,552"
3410560,MONTCLAIR TOWN,"372,074"
3410590,MONTGOMERY TOWNSHIP,0
3410620,MONTVALE BOROUGH,0
3410650,MONTVILLE TOWNSHIP,0
3410680,MOONACHIE BOROUGH,"27,869"
3410710,MOORESTOWN TOWNSHIP,0
3410740,MORRIS HILLS REGIONAL,0
3410770,MORRIS PLAINS BOROUGH,0
3410810,MORRIS SCHOOL DISTRICT,"299,751"
3410860,MOUNT ARLINGTON BOROUGH,0
3410890,MOUNT EPHRAIM BOROUGH,"41,826"
3410920,MOUNT HOLLY TOWNSHIP,"281,617"
3410950,MOUNT LAUREL TOWNSHIP,0
3410980,MOUNT OLIVE TOWNSHIP,0
3411010,MOUNTAIN LAKES BOROUGH,0
3411040,MOUNTAINSIDE BOROUGH,0
3411070,MULLICA TOWNSHIP,"96,722"
3411610,N HUNT/VOORHEES REGIONAL,0
3411100,NATIONAL PARK BOROUGH,"27,012"
3411130,NEPTUNE CITY,"85,394"
3411160,NEPTUNE TOWNSHIP,"538,505"
3411190,NETCONG BOROUGH,"17,427"
3411220,NEW BRUNSWICK CITY,"1,170,159"
3411250,NEW HANOVER TOWNSHIP,"27,884"
3411280,NEW MILFORD BOROUGH,0
3411310,NEW PROVIDENCE BOROUGH,0
3411340,NEWARK CITY,"31,066,829"
3411370,NEWFIELD ELEMENTARY,"23,527"
3411400,NEWTON TOWN,"123,734"
3411430,NORTH ARLINGTON BOROUGH,"98,465"
3411460,NORTH BERGEN TOWNSHIP,"2,157,507"
3411490,NORTH BRUNSWICK TOWNSHIP,"331,991"
3411520,NORTH CALDWELL BOROUGH,0
3411550,NORTH HALEDON BOROUGH,"41,826"
3411580,NORTH HANOVER TOWNSHIP,0
3411640,NORTH PLAINFIELD BOROUGH,"312,821"
3409550,NORTH WARREN REGIONAL,0
3411670,NORTH WILDWOOD CITY,"68,838"
3411700,NORTHERN BURLINGTON REG,0
3411730,NORTHERN HIGHLANDS REG,0
3411760,NORTHERN VALLEY REGIONAL,0
3411790,NORTHFIELD CITY,"72,324"
3411820,NORTHVALE BOROUGH,"25,270"
3411850,NORWOOD BOROUGH,"48,797"
3411880,NUTLEY TOWN,0
3411910,OAKLAND BOROUGH,0
3411940,OAKLYN BOROUGH,"47,706"
3411970,OCEAN CITY,"143,776"
3412030,OCEAN GATE BOROUGH,"32,241"
3412060,OCEAN TOWNSHIP,"324,149"
3412090,OCEAN TOWNSHIP,"142,904"
3412120,OCEANPORT BOROUGH,0
3412150,OGDENSBURG BOROUGH,"22,656"
3409270,OLD BRIDGE TOWNSHIP,0
3412180,OLD TAPPAN BOROUGH,0
3412210,OLDMANS TOWNSHIP,"19,505"
3412240,ORADELL BOROUGH,0
3412300,OXFORD TOWNSHIP,0
3412360,PALISADES PARK,"217,842"
3412390,PALMYRA BOROUGH,"62,738"
3412420,PARAMUS BOROUGH,0
3412450,PARK RIDGE BOROUGH,0
3412480,PARSIPPANY-TROY HILLS TOWNSHIP,0
3412510,PASCACK VALLEY REGIONAL,0
3412540,PASSAIC CITY,"5,398,981"
3412600,PASSAIC CO MANCHESTER REG,"126,348"
3412570,PASSAIC VALLEY REGIONAL,"77,552"
3412690,PATERSON CITY,"14,047,012"
3412720,PAULSBORO BOROUGH,"349,458"
3412780,PEMBERTON BOROUGH,"22,656"
3412810,PEMBERTON TOWNSHIP,"549,833"
3412840,PENNS GROVE-CARNEYS POINT REG,"422,141"
3412870,PENNSAUKEN TOWNSHIP,"1,068,733"
3409120,PENNSVILLE,"109,792"
3412900,PEQUANNOCK TOWNSHIP,0
3412930,PERTH AMBOY CITY,"2,027,820"
3412960,PHILLIPSBURG TOWN,"479,623"
3412990,PINE HILL BOROUGH,"223,070"
3413020,PINE VALLEY,0
3413000,PINELANDS REGIONAL,"140,290"
3413050,PISCATAWAY TOWNSHIP,0
3413080,PITMAN BOROUGH,"94,108"
3413110,PITTSGROVE TOWNSHIP,"113,278"
3413140,PLAINFIELD CITY,"1,939,229"
3413200,PLEASANTVILLE CITY,"856,357"
3413230,PLUMSTED TOWNSHIP,"95,850"
3413260,POHATCONG TOWNSHIP,0
3413320,POINT PLEASANT BEACH BOROUGH,"59,253"
3413290,POINT PLEASANT BOROUGH,0
3413350,POMPTON LAKES BOROUGH,"97,593"
3413380,PORT REPUBLIC CITY,0
3413410,PRINCETON REGIONAL,"187,344"
3413470,PROSPECT PARK BOROUGH,"168,059"
3413500,QUINTON TOWNSHIP,"35,726"
3413530,RAHWAY CITY,"404,315"
3413560,RAMAPO-INDIAN HILL REG,0
3413590,RAMSEY BOROUGH,0
3413620,RANCOCAS VALLEY REGIONAL,"94,108"
3413650,RANDOLPH TOWNSHIP,0
3413710,READINGTON TOWNSHIP,0
3413740,RED BANK BOROUGH,"134,191"
3413750,RED BANK REGIONAL,"52,282"
3413770,RIDGEFIELD BOROUGH,"135,062"
3413800,RIDGEFIELD PARK TOWNSHIP,"148,133"
3413830,RIDGEWOOD VILLAGE,0
3413860,RINGWOOD BOROUGH,"78,423"
3412260,RIVER DELL REGIONAL,0
3413890,RIVER EDGE BOROUGH,0
3413950,RIVER VALE TOWNSHIP,0
3413980,RIVERDALE BOROUGH,"20,913"
3414010,RIVERSIDE TOWNSHIP,"125,477"
3414040,RIVERTON,0
3417100,ROBBINSVILLE TOWNSHIP,0
3414070,ROCHELLE PARK TOWNSHIP,0
3414100,ROCKAWAY BOROUGH,0
3414130,ROCKAWAY TOWNSHIP,0
3414160,ROCKLEIGH,0
3414190,ROCKY HILL,0
3414220,ROOSEVELT BOROUGH,0
3414250,ROSELAND BOROUGH,"24,398"
3414280,ROSELLE BOROUGH,"421,742"
3414310,ROSELLE PARK BOROUGH,"142,904"
3414340,ROXBURY TOWNSHIP,0
3414370,RUMSON BOROUGH,0
3414400,RUMSON-FAIR HAVEN REG,0
3414430,RUNNEMEDE BOROUGH,"78,423"
3414460,RUTHERFORD BOROUGH,0
3414490,SADDLE BROOK TOWNSHIP,"85,394"
3414520,SADDLE RIVER BOROUGH,0
3414550,SALEM CITY,"396,328"
3414610,SANDYSTON-WALPACK TOWNSHIP,"10,456"
3414640,SAYREVILLE BOROUGH,0
3400004,SCHOOL DISTRICT OF THE CHATHAMS,0
3414670,SCOTCH PLAINS-FANWOOD REG,0
3414700,SEA BRIGHT BOROUGH,0
3414730,SEA GIRT BOROUGH,"18,299"
3414760,SEA ISLE CITY,"31,369"
3414790,SEASIDE HEIGHTS BOROUGH,"84,188"
3414820,SEASIDE PARK BOROUGH,"12,199"
3414850,SECAUCUS TOWN,"130,392"
3414880,SHAMONG TOWNSHIP,0
3414910,SHILOH BOROUGH,0
3414940,SHORE REGIONAL,0
3414970,SHREWSBURY BOROUGH,0
3415000,SOMERDALE BOROUGH,"47,625"
3415030,SOMERS POINT CITY,"147,261"
3400009,SOMERSET HILLS REGIONAL,0
